release_date,movie,production_budget,worldwide_gross,title,studio,foreign_gross,year,_merge,domestic_gross,Movie_title
2008-01-18,All Hat,4900000.0,15198.0,,,0.0,2008,left_only,15198.0,All Hat
1996-11-20,Sling Blade,4833610.0,34175000.0,,,9699584.0,1996,left_only,24475416.0,Sling Blade
2006-01-06,Hostel,4800000.0,82241110.0,,,34914637.0,2006,left_only,47326473.0,Hostel
2013-07-19,Only God Forgives,4800000.0,4494560.0,Only God Forgives,RTWC,9900000.0,2013.0,both,775849.0,Only God Forgives
2011-09-30,Take Shelter,4750000.0,4972016.0,Take Shelter,SPC,1400000.0,2011.0,both,1728953.0,Take Shelter
2006-01-27,Tristram Shandy: A Cock and Bull Story,4750000.0,3061763.0,,,1808350.0,2006,left_only,1253413.0,Tristram Shandy: A Cock and Bull Story
1986-08-22,The Texas Chainsaw Massacre 2,4700000.0,8025872.0,,,0.0,1986,left_only,8025872.0,The Texas Chainsaw Massacre 2
1988-04-22,Lady in White,4700000.0,1705139.0,,,0.0,1988,left_only,1705139.0,Lady in White
2006-10-13,Driving Lessons,4700000.0,239962.0,,,0.0,2006,left_only,239962.0,Driving Lessons
2011-12-31,Without Men,4700000.0,0.0,,,0.0,2011,left_only,0.0,Without Men
2015-03-10,Treading Water,4700000.0,0.0,,,0.0,2015,left_only,0.0,Treading Water
1973-05-23,Pat Garrett and Billy the Kid,4638783.0,11000000.0,,,3000000.0,1973,left_only,8000000.0,Pat Garrett and Billy the Kid
2004-07-16,Camping Sauvage,4600000.0,3479302.0,,,0.0,2004,left_only,3479302.0,Camping Sauvage
2012-09-14,Barfi,4600000.0,36751984.0,,,33947110.0,2012,left_only,2804874.0,Barfi
2005-03-04,Dear Frankie,4600000.0,3099369.0,,,1758478.0,2005,left_only,1340891.0,Dear Frankie
2004-12-29,The Assassination of Richard Nixon,4600000.0,4880143.0,,,4171367.0,2004,left_only,708776.0,The Assassination of Richard Nixon
2011-06-24,Le nom des gens,4600000.0,9261711.0,,,8747474.0,2011,left_only,514237.0,Le nom des gens
2008-05-28,Savage Grace,4600000.0,968805.0,,,534388.0,2008,left_only,434417.0,Savage Grace
2007-10-19,Out of the Blue,4600000.0,731767.0,,,731039.0,2007,left_only,728.0,Out of the Blue
1984-03-23,Police Academy,4500000.0,81198894.0,,,0.0,1984,left_only,81198894.0,Police Academy
1994-03-09,Four Weddings and a Funeral,4500000.0,242895809.0,,,190194977.0,1994,left_only,52700832.0,Four Weddings and a Funeral
1980-06-20,The Blue Lagoon,4500000.0,47923795.0,,,0.0,1980,left_only,47923795.0,The Blue Lagoon
1982-08-13,Fast Times at Ridgemont High,4500000.0,27092880.0,,,0.0,1982,left_only,27092880.0,Fast Times at Ridgemont High
1996-09-28,Secrets & Lies,4500000.0,13417292.0,,,0.0,1996,left_only,13417292.0,Secrets & Lies
2002-12-19,25th Hour,4500000.0,25344490.0,,,12259895.0,2002,left_only,13084595.0,25th Hour
1985-09-13,After Hours,4500000.0,10609321.0,,,0.0,1985,left_only,10609321.0,After Hours
1956-06-27,Moby Dick,4500000.0,10400000.0,,,0.0,1956,left_only,10400000.0,Moby Dick
2016-03-25,The Lobster,4500000.0,18019834.0,,,8823556.0,2016,left_only,9196278.0,The Lobster
1996-10-04,Bound,4500000.0,7011317.0,,,3209057.0,1996,left_only,3802260.0,Bound
2000-10-06,Requiem for a Dream,4500000.0,7389233.0,,,3753751.0,2000,left_only,3635482.0,Requiem for a Dream
1962-03-09,State Fair,4500000.0,3500000.0,,,0.0,1962,left_only,3500000.0,State Fair
2008-10-24,LÃ¥t den rÃ¤tte komma in,4500000.0,12247682.0,,,10125597.0,2008,left_only,2122085.0,LÃ¥t den rÃ¤tte komma in
1999-02-12,Tango,4500000.0,5428387.0,,,3741076.0,1999,left_only,1687311.0,Tango
1986-04-23,Salvador,4500000.0,1500000.0,,,0.0,1986,left_only,1500000.0,Salvador
2001-10-26,Donnie Darko,4500000.0,7510877.0,,,6030871.0,2001,left_only,1480006.0,Donnie Darko
2011-09-02,Salvando al Soldado Perez,4500000.0,9330465.0,,,7929739.0,2011,left_only,1400726.0,Salvando al Soldado Perez
1998-03-27,Karakter,4500000.0,713413.0,,,0.0,1998,left_only,713413.0,Karakter
2011-08-19,Nannerl la soeur de Mozart,4500000.0,2404639.0,,,1696754.0,2011,left_only,707885.0,Nannerl la soeur de Mozart
2003-03-14,Spun,4500000.0,1022649.0,,,612408.0,2003,left_only,410241.0,Spun
2010-07-23,Life During Wartime,4500000.0,281447.0,Life During Wartime,IFC,487000.0,2010.0,both,281447.0,Life During Wartime
2006-05-04,Chinjeolhan geumjassi,4500000.0,23471871.0,,,23260204.0,2006,left_only,211667.0,Chinjeolhan geumjassi
