release_date,production_budget,worldwide_gross,studio,foreign_gross,year,budget_merge,domestic_gross,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,_merge
1994-06-15,79300000.0,986214868.0,,564429585.0,1994,left_only,421785283.0,The Lion King,tt0110357,88,8.5,910402.0,62.0,62.0,both
2009-05-29,175000000.0,731463377.0,,438459213.0,2009,left_only,293004164.0,Up,tt1049413,96,8.2,905233.0,45.0,45.0,both
1998-06-05,60000000.0,264118201.0,,138500000.0,1998,left_only,125618201.0,The Truman Show,tt0120382,103,8.1,901414.0,,,both
1992-10-23,1200000.0,2832029.0,,0.0,1992,left_only,2832029.0,Reservoir Dogs,tt0105236,99,8.3,890177.0,53.0,53.0,both
1999-08-06,40000000.0,672806292.0,,379300000.0,1999,left_only,293506292.0,The Sixth Sense,tt0167404,107,8.1,889089.0,51.0,51.0,both
2004-03-19,20000000.0,72570762.0,,38204244.0,2004,left_only,34366518.0,Eternal Sunshine of the Spotless Mind,tt0338013,108,8.3,882714.0,51.0,51.0,both
2016-02-12,58000000.0,801025593.0,Fox,420000000.0,2016.0,both,363070709.0,Deadpool,tt1431045,108,8.0,876258.0,45.0,45.0,both
1980-05-23,19000000.0,44728227.0,,710853.0,1980,left_only,44017374.0,The Shining,tt0081505,146,8.4,860541.0,57.0,57.0,both
1981-06-12,20000000.0,367452079.0,,141766000.0,1981,left_only,225686079.0,Raiders of the Lost Ark,tt0082971,115,8.4,859705.0,68.0,68.0,both
1995-11-22,30000000.0,364545516.0,,172749283.0,1995,left_only,191796233.0,Toy Story,tt0114709,81,8.3,858422.0,,,both
2015-05-15,150000000.0,370098020.0,WB,224800000.0,2015.0,both,153636354.0,Mad Max: Fury Road,tt1392190,120,8.1,848266.0,45.0,45.0,both
1993-06-11,63000000.0,1038812584.0,,643104279.0,1993,left_only,395708305.0,Jurassic Park,tt0107290,127,8.1,837022.0,59.0,59.0,both
1997-12-05,10000000.0,225925989.0,,87492554.0,1997,left_only,138433435.0,Good Will Hunting,tt0119217,126,8.3,830391.0,,,both
2012-03-23,80000000.0,677923379.0,LGF,286400000.0,2012.0,both,408010692.0,The Hunger Games,tt1392170,142,7.2,826626.0,52.0,52.0,both
2014-10-03,61000000.0,368567189.0,Fox,201600000.0,2014.0,both,167767189.0,Gone Girl,tt2267998,149,8.1,825715.0,48.0,48.0,both
2007-11-09,25000000.0,164035753.0,,89762248.0,2007,left_only,74273505.0,No Country for Old Men,tt0477348,122,8.1,823392.0,44.0,44.0,both
,,,UTV,,2012.0,right_only,,Joker,tt7286456,122,8.5,823276.0,49.0,49.0,both
2001-12-21,78000000.0,317668058.0,,146959062.0,2001,left_only,170708996.0,A Beautiful Mind,tt0268978,135,8.2,821864.0,46.0,46.0,both
2001-11-02,115000000.0,559757719.0,,270334294.0,2001,left_only,289423425.0,"Monsters, Inc.",tt0198781,92,8.0,789944.0,46.0,46.0,both
2018-04-27,300000000.0,2048134200.0,BV,1369.5,2018.0,both,678815482.0,Avengers: Infinity War,tt4154756,149,8.4,785234.0,49.0,49.0,both
2008-11-12,14000000.0,384530440.0,,243199737.0,2008,left_only,141330703.0,Slumdog Millionaire,tt1010048,120,8.0,782785.0,50.0,50.0,both
