,studio,year,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,Release_Date,Movie_Name,Production_Budget,Gross_Domestic,Gross_Worldwide,_merge,Gross_Foreign_Only
49,,2004.0,Eternal Sunshine of the Spotless Mind,tt0338013,108,8.3,882714.0,51.0,51.0,"Mar 19, 2004",Eternal Sunshine of the Spotless Mind,20000000.0,34366518.0,72427301.0,both,38060783.0
50,Fox,2016.0,Deadpool,tt1431045,108,8.0,876258.0,45.0,45.0,"Feb 9, 2016",Deadpool,58000000.0,363070709.0,785025593.0,both,421954884.0
51,,1980.0,The Shining,tt0081505,146,8.4,860541.0,57.0,57.0,"May 23, 1980",The Shining,19000000.0,44568631.0,45325009.0,both,756378.0
52,,1981.0,Raiders of the Lost Ark,tt0082971,115,8.4,859705.0,68.0,68.0,"Jun 12, 1981",Raiders of the Lost Ark,20000000.0,225686079.0,367452079.0,both,141766000.0
53,,1995.0,Toy Story,tt0114709,81,8.3,858422.0,,,"Nov 22, 1995",Toy Story,30000000.0,191796233.0,364543951.0,both,172747718.0
54,WB,2015.0,Mad Max: Fury Road,tt1392190,120,8.1,848266.0,45.0,45.0,2015-05-15,,150000000.0,153636354.0,370098020.0,left_only,224800000.0
55,,1993.0,Jurassic Park,tt0107290,127,8.1,837022.0,59.0,59.0,"Jun 11, 1993",Jurassic Park,63000000.0,402523348.0,1045627627.0,both,643104279.0
56,,1997.0,Good Will Hunting,tt0119217,126,8.3,830391.0,,,"Dec 5, 1997",Good Will Hunting,10000000.0,138433435.0,225925989.0,both,87492554.0
57,LGF,2012.0,The Hunger Games,tt1392170,142,7.2,826626.0,52.0,52.0,"Mar 8, 2012",The Hunger Games,80000000.0,408010692.0,677923379.0,both,269912687.0
58,Fox,2014.0,Gone Girl,tt2267998,149,8.1,825715.0,48.0,48.0,"Oct 3, 2014",Gone Girl,61000000.0,167767189.0,368567189.0,both,200800000.0
59,,2007.0,No Country for Old Men,tt0477348,122,8.1,823392.0,44.0,44.0,"Nov 9, 2007",No Country for Old Men,25000000.0,74273505.0,164035753.0,both,89762248.0
60,UTV,2012.0,Joker,tt7286456,122,8.5,823276.0,49.0,49.0,"Oct 2, 2019",Joker,55000000.0,335451311.0,1072722593.0,both,737271282.0
61,,2001.0,A Beautiful Mind,tt0268978,135,8.2,821864.0,46.0,46.0,"Dec 21, 2001",A Beautiful Mind,78000000.0,170708996.0,317668058.0,both,146959062.0
62,,2001.0,"Monsters, Inc.",tt0198781,92,8.0,789944.0,46.0,46.0,"Nov 2, 2001","Monsters, Inc.",115000000.0,289423425.0,559757719.0,both,270334294.0
63,BV,2018.0,Avengers: Infinity War,tt4154756,149,8.4,785234.0,49.0,49.0,"Apr 25, 2018",Avengers: Infinity War,300000000.0,678815482.0,2048359754.0,both,1369544272.0
64,,2008.0,Slumdog Millionaire,tt1010048,120,8.0,782785.0,50.0,50.0,"Nov 12, 2008",Slumdog Millionaire,14000000.0,141330703.0,383825427.0,both,242494724.0
65,,1984.0,The Terminator,tt0088247,107,8.0,779199.0,76.0,76.0,"Oct 26, 1984",The Terminator,6400000.0,38019031.0,78019031.0,both,40000000.0
66,,1988.0,Die Hard,tt0095016,132,8.2,763434.0,60.0,60.0,"Jul 15, 1988",Die Hard,28000000.0,81350242.0,139109346.0,both,57759104.0
67,,2000.0,Snatch,tt0208092,104,8.3,761799.0,49.0,49.0,"Dec 8, 2000",Snatch,10000000.0,30093107.0,83593107.0,both,53500000.0
68,WB,2013.0,Gravity,tt1454468,91,7.7,751444.0,50.0,50.0,"Oct 3, 2013",Gravity,110000000.0,274092705.0,689742192.0,both,415649487.0
69,WB (NL),2012.0,The Hobbit: An Unexpected Journey,tt0903624,169,7.8,743423.0,56.0,56.0,"Dec 11, 2012",The Hobbit: An Unexpected Journey,200000000.0,303003568.0,1017003568.0,both,714000000.0
70,,2000.0,Requiem for a Dream,tt0180093,102,8.3,743364.0,45.0,45.0,"Oct 6, 2000",Requiem for a Dream,4500000.0,3635482.0,7389233.0,both,3753751.0
71,BV,2013.0,Iron Man 3,tt1300854,130,7.2,735724.0,51.0,51.0,"Apr 24, 2013",Iron Man 3,200000000.0,408992272.0,1215392272.0,both,806400000.0
72,BV,2010.0,Toy Story 3,tt0435761,103,8.3,735111.0,44.0,44.0,"Jun 18, 2010",Toy Story 3,200000000.0,415004880.0,1068879522.0,both,653874642.0
73,Fox,2015.0,The Martian,tt3659388,144,8.0,735109.0,50.0,50.0,"Sep 30, 2015",The Martian,108000000.0,228433663.0,655271443.0,both,426837780.0
74,,2005.0,Sin City,tt0401792,124,8.0,731473.0,41.0,41.0,"Apr 1, 2005",Sin City,40000000.0,74103820.0,158527918.0,both,84424098.0
75,Par.,2011.0,Thor,tt0800369,115,7.0,726879.0,46.0,46.0,2011-05-06,,150000000.0,181030624.0,449326618.0,left_only,268300000.0
76,,2001.0,Donnie Darko,tt0246578,113,8.0,725018.0,32.0,32.0,"Oct 26, 2001",Donnie Darko,4500000.0,1480006.0,7510877.0,both,6030871.0
77,,2007.0,300,tt0416449,117,7.6,719497.0,35.0,35.0,"Mar 9, 2007",300,60000000.0,210614939.0,454161935.0,both,243546996.0
78,Par.,2011.0,Captain America: The First Avenger,tt0458339,124,6.9,719070.0,47.0,47.0,"Jul 22, 2011",Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,both,193915271.0
79,BV,2015.0,Avengers: Age of Ultron,tt2395427,141,7.3,717692.0,50.0,50.0,"Apr 22, 2015",Avengers: Age of Ultron,365000000.0,459005868.0,1396099202.0,both,937093334.0
80,,1983.0,Scarface,tt0086250,170,8.3,715257.0,54.0,54.0,"Dec 9, 1983",Scarface,25000000.0,44942821.0,44942821.0,both,0.0
81,BV,2014.0,Captain America: The Winter Soldier,tt1843866,136,7.7,714610.0,55.0,55.0,2014-04-04,,170000000.0,259746958.0,714401889.0,left_only,454500000.0
82,,1998.0,The Big Lebowski,tt0118715,117,8.1,706241.0,,,"Mar 6, 1998",The Big Lebowski,15000000.0,17498804.0,46189568.0,both,28690764.0
83,,2008.0,Gran Torino,tt1205489,116,8.1,703232.0,36.0,36.0,"Dec 12, 2008",Gran Torino,25000000.0,148095302.0,274543085.0,both,126447783.0
84,,2009.0,The Hangover,tt1119646,100,7.7,702465.0,46.0,46.0,"Jun 5, 2009",The Hangover,35000000.0,277322503.0,465487583.0,both,188165080.0
85,Par.,2010.0,Iron Man 2,tt1228705,124,7.0,702070.0,46.0,46.0,2010-05-07,,170000000.0,312433331.0,621156389.0,left_only,311500000.0
86,,2002.0,The Pianist,tt0253474,150,8.5,701755.0,49.0,49.0,"Dec 27, 2002",The Pianist,35000000.0,32519322.0,111854182.0,both,79334860.0
87,SPC,2014.0,Whiplash,tt2582802,106,8.5,683403.0,39.0,39.0,"Oct 10, 2014",Whiplash,3300000.0,13092006.0,38969037.0,both,25877031.0
88,FoxS,2010.0,Black Swan,tt0947798,108,8.0,682638.0,44.0,44.0,"Dec 3, 2010",Black Swan,13000000.0,106954678.0,331266710.0,both,224312032.0
89,FoxS,2014.0,The Grand Budapest Hotel,tt2278388,99,8.1,682094.0,49.0,49.0,"Mar 5, 2014",The Grand Budapest Hotel,31000000.0,59076019.0,163503514.0,both,104427495.0
90,Fox,2015.0,The Revenant,tt1663202,156,8.0,679016.0,42.0,42.0,"Dec 25, 2015",The Revenant,135000000.0,183637894.0,532938302.0,both,349300408.0
91,WB,2013.0,Man of Steel,tt0770828,143,7.0,675329.0,53.0,53.0,"Jun 14, 2013",Man of Steel,225000000.0,291045518.0,667999518.0,both,376954000.0
92,,1982.0,Blade Runner,tt0083658,117,8.1,673277.0,65.0,65.0,"Jun 25, 1982",Blade Runner,28000000.0,32656328.0,39358290.0,both,6701962.0
93,,1989.0,Indiana Jones and the Last Crusade,tt0097576,127,8.2,672359.0,,,"May 24, 1989",Indiana Jones and the Last Crusade,48000000.0,197171806.0,474171806.0,both,277000000.0
94,,2002.0,Spider-Man,tt0145487,121,7.3,671854.0,,,"May 3, 2002",Spider-Man,139000000.0,403706375.0,821706375.0,both,418000000.0
95,Wein.,2014.0,The Imitation Game,tt2084970,114,8.0,662479.0,48.0,48.0,"Nov 14, 2014",The Imitation Game,15000000.0,91125143.0,227740463.0,both,136615320.0
96,,1987.0,Full Metal Jacket,tt0093058,116,8.3,653017.0,46.0,46.0,"Jun 26, 1987",Full Metal Jacket,30000000.0,45015999.0,45015999.0,both,0.0
97,Wein.,2012.0,Silver Linings Playbook,tt1045658,122,7.7,648100.0,50.0,50.0,"Nov 16, 2012",Silver Linings Playbook,21000000.0,132092958.0,236412453.0,both,104319495.0
98,P/DW,2010.0,How to Train Your Dragon,tt0892769,98,8.1,647425.0,50.0,50.0,2010-03-26,,165000000.0,217581232.0,494870992.0,left_only,277300000.0
99,Fox,2014.0,X-Men: Days of Future Past,tt1877832,132,8.0,647347.0,48.0,48.0,"May 21, 2014",X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,both,513941241.0
100,,2004.0,The Incredibles,tt0317705,115,8.0,639068.0,58.0,58.0,"Oct 22, 2004",The Incredibles,92000000.0,261441092.0,631441092.0,both,370000000.0
101,BV,2016.0,Captain America: Civil War,tt3498820,147,7.8,638899.0,51.0,51.0,"Apr 22, 2016",Captain America: Civil War,250000000.0,408084349.0,1153284349.0,both,745200000.0
102,,1986.0,Aliens,tt0090605,137,8.3,635270.0,63.0,63.0,"Jul 18, 1986",Aliens,17000000.0,85160248.0,183316455.0,both,98156207.0
103,Fox,2011.0,X-Men: First Class,tt1270798,131,7.7,634233.0,48.0,48.0,2011-06-03,,160000000.0,146408305.0,355408305.0,left_only,207200000.0
104,,2009.0,District 9,tt1136608,112,7.9,627773.0,41.0,41.0,"Aug 14, 2009",District 9,30000000.0,115646235.0,212453431.0,both,96807196.0
105,Wein.,2010.0,The King's Speech,tt1504320,118,8.0,624939.0,47.0,47.0,,,,,,left_only,275400000.0
106,,2017.0,Logan,tt3315342,137,8.1,621345.0,42.0,42.0,"Feb 23, 2017",Logan,127000000.0,226277068.0,614228432.0,both,387951364.0
107,,2007.0,Ratatouille,tt0382932,111,8.0,620497.0,44.0,44.0,2007-06-29,,150000000.0,206445654.0,626549695.0,left_only,420104041.0
108,,1996.0,Trainspotting,tt0117951,93,8.1,620180.0,,,"May 16, 1996",Trainspotting,3100000.0,16501785.0,71558971.0,both,55057186.0
109,FoxS,2013.0,12 Years a Slave,tt2024544,134,8.1,619868.0,46.0,46.0,"Oct 18, 2013",12 Years a Slave,20000000.0,56671993.0,180790756.0,both,124118763.0
110,,2004.0,Million Dollar Baby,tt0405159,132,8.1,619092.0,40.0,40.0,"Dec 15, 2004",Million Dollar Baby,30000000.0,100492203.0,231928227.0,both,131436024.0
111,Sony,2012.0,Skyfall,tt1074638,143,7.7,617722.0,50.0,50.0,"Oct 26, 2012",Skyfall,200000000.0,304360277.0,1110526981.0,both,806166704.0
112,WB,2016.0,Batman v Superman: Dawn of Justice,tt2975590,152,6.4,608340.0,48.0,48.0,"Mar 23, 2016",Batman v Superman: Dawn of Justice,263000000.0,330360194.0,872395091.0,both,542034897.0
113,Sony,2010.0,The Social Network,tt1285016,120,7.7,604412.0,52.0,52.0,"Oct 1, 2010",The Social Network,40000000.0,96962694.0,224922135.0,both,127959441.0
114,LGF,2013.0,The Hunger Games: Catching Fire,tt1951264,146,7.5,600191.0,53.0,53.0,"Nov 15, 2013",The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,both,440200000.0
115,,1996.0,Fargo,tt0116282,98,8.1,596745.0,,,"Mar 8, 1996",Fargo,7000000.0,24567751.0,51204567.0,both,26636816.0
116,,2001.0,Shrek,tt0126029,90,7.8,596603.0,,,"May 18, 2001",Shrek,50000000.0,267655011.0,491812794.0,both,224157783.0
117,,2007.0,The Bourne Ultimatum,tt0440963,115,8.0,595489.0,42.0,42.0,"Aug 3, 2007",The Bourne Ultimatum,130000000.0,227471070.0,444043396.0,both,216572326.0
118,WB (NL),2013.0,The Hobbit: The Desolation of Smaug,tt1170358,161,7.8,588376.0,56.0,56.0,"Dec 12, 2013",The Hobbit: The Desolation of Smaug,250000000.0,258241522.0,960238087.0,both,701996565.0
119,BV,2018.0,Black Panther,tt1825683,134,7.3,587615.0,42.0,42.0,"Feb 13, 2018",Black Panther,200000000.0,700059566.0,1346103376.0,both,646043810.0
120,BV,2015.0,Inside Out,tt2096673,95,8.1,587116.0,57.0,57.0,2015-06-19,,175000000.0,356461711.0,854235992.0,left_only,501100000.0
121,,2007.0,Transformers,tt0418279,144,7.0,586968.0,42.0,42.0,2007-07-02,,151000000.0,319246193.0,708272592.0,left_only,389026399.0
122,Par.,2013.0,World War Z,tt0816711,116,7.0,586906.0,47.0,47.0,"Jun 19, 2013",World War Z,190000000.0,202359711.0,531514650.0,both,329154939.0
123,WB,2016.0,Suicide Squad,tt1386697,123,6.0,582108.0,52.0,52.0,2016-08-05,,175000000.0,325100054.0,746059887.0,left_only,421700000.0
124,WB,2014.0,Edge of Tomorrow,tt1631867,113,7.9,582066.0,51.0,51.0,2014-06-06,,178000000.0,100206256.0,370541256.0,left_only,270300000.0
125,LG/S,2013.0,Now You See Me,tt1670345,115,7.3,581742.0,48.0,48.0,"May 31, 2013",Now You See Me,75000000.0,117723989.0,342769200.0,both,225045211.0
126,BV,2013.0,Thor: The Dark World,tt1981115,112,6.9,578552.0,49.0,49.0,2013-11-08,,150000000.0,206362140.0,644602516.0,left_only,438200000.0
127,Fox,2015.0,Kingsman: The Secret Service,tt2802144,129,7.7,576053.0,48.0,48.0,"Jan 29, 2015",Kingsman: The Secret Service,94000000.0,128261724.0,404561724.0,both,276300000.0
128,WB,2013.0,Prisoners,tt1392214,153,8.1,575224.0,45.0,45.0,"Sep 19, 2013",Prisoners,46000000.0,61002302.0,113402302.0,both,52400000.0
129,BV,2016.0,Doctor Strange,tt1211837,115,7.5,573351.0,47.0,47.0,2016-11-04,,165000000.0,232641920.0,676404566.0,left_only,445100000.0
130,,2008.0,The Curious Case of Benjamin Button,tt0421715,166,7.8,572337.0,45.0,45.0,2008-12-25,,160000000.0,127509326.0,329631958.0,left_only,202122632.0
131,,2009.0,Sherlock Holmes,tt0988045,128,7.6,571493.0,36.0,36.0,"Dec 25, 2009",Sherlock Holmes,90000000.0,209028679.0,498438212.0,both,289409533.0
132,,2009.0,Star Trek,tt0796366,127,7.9,570128.0,55.0,55.0,"May 8, 2009",Star Trek,140000000.0,257730019.0,386839614.0,both,129109595.0
133,Par.,2016.0,Arrival,tt2543164,116,7.9,569933.0,45.0,45.0,"Nov 9, 2016",Arrival,47000000.0,100546139.0,203127894.0,both,102581755.0
134,Fox,2012.0,Life of Pi,tt0454876,127,7.9,567132.0,46.0,46.0,"Nov 21, 2012",Life of Pi,120000000.0,124987022.0,619310368.0,both,494323346.0
135,,2006.0,Casino Royale,tt0381061,144,8.0,567060.0,44.0,44.0,"Nov 17, 2006",Casino Royale,102000000.0,167365000.0,594420283.0,both,427055283.0
136,,2006.0,Casino Royale,tt0381061,144,8.0,567060.0,44.0,44.0,"Apr 28, 1967",Casino Royale,12000000.0,22744718.0,41744718.0,both,19000000.0
137,,1967.0,Casino Royale,tt0381061,144,8.0,567060.0,44.0,44.0,"Nov 17, 2006",Casino Royale,102000000.0,167365000.0,594420283.0,both,427055283.0
138,,1967.0,Casino Royale,tt0381061,144,8.0,567060.0,44.0,44.0,"Apr 28, 1967",Casino Royale,12000000.0,22744718.0,41744718.0,both,19000000.0
139,Uni.,2015.0,Jurassic World,tt0369610,124,7.0,566377.0,58.0,58.0,"Jun 9, 2015",Jurassic World,215000000.0,652270625.0,1670400637.0,both,1018130012.0
140,,1993.0,Groundhog Day,tt0107048,101,8.0,566322.0,48.0,48.0,"Feb 12, 1993",Groundhog Day,14600000.0,70906973.0,70906973.0,both,0.0
141,,1995.0,12 Monkeys,tt0114746,129,8.0,565508.0,,,"Dec 27, 1995",12 Monkeys,29000000.0,57141459.0,168841459.0,both,111700000.0
142,,2014.0,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,119,7.7,561942.0,47.0,47.0,"Oct 17, 2014",Birdman or (The Unexpected Virtue of Ignorance),18000000.0,42340598.0,103215094.0,both,60874496.0
143,WB,2012.0,Argo,tt1024648,120,7.7,560458.0,39.0,39.0,"Oct 11, 2012",Argo,44500000.0,136025503.0,227140757.0,both,91115254.0
144,Uni.,2012.0,Ted,tt1637725,106,6.9,559732.0,36.0,36.0,"Jun 29, 2012",Ted,50000000.0,218665740.0,556016627.0,both,337350887.0
145,,2000.0,X-Men,tt0120903,104,7.4,559312.0,,,"Jul 14, 2000",X-Men,75000000.0,157299717.0,296872367.0,both,139572650.0
146,Fox,2012.0,Prometheus,tt1446714,124,7.0,558062.0,44.0,44.0,"May 30, 2012",Prometheus,125000000.0,126477084.0,402448265.0,both,275971181.0
147,BV,2017.0,Thor: Ragnarok,tt3501632,130,7.9,557813.0,46.0,46.0,"Oct 25, 2017",Thor: Ragnarok,180000000.0,315058289.0,853958289.0,both,538900000.0
148,BV,2013.0,Frozen,tt2294629,102,7.4,557375.0,59.0,59.0,2013-11-22,,150000000.0,400738009.0,1272469910.0,left_only,875700000.0
149,,2007.0,Into the Wild,tt0758758,148,8.1,556617.0,35.0,35.0,"Sep 21, 2007",Into the Wild,20000000.0,18354356.0,56822960.0,both,38468604.0
150,,2009.0,Taken,tt0936501,90,7.8,555895.0,40.0,40.0,"Apr 9, 2008",Taken,25000000.0,145000989.0,226941585.0,both,81940596.0
151,,2011.0,Drive,tt0780504,100,7.8,554706.0,37.0,37.0,"Sep 16, 2011",Drive,15000000.0,35060689.0,81357930.0,both,46297241.0
152,BV,2015.0,Ant-Man,tt0478970,117,7.3,549245.0,44.0,44.0,"Jul 14, 2015",Ant-Man,130000000.0,180202163.0,518858449.0,both,338656286.0
153,Sony,2012.0,The Amazing Spider-Man,tt0948470,136,6.9,547738.0,56.0,56.0,"Jun 27, 2012",The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,both,495859604.0
154,BV,2017.0,Guardians of the Galaxy Vol. 2,tt3896198,136,7.6,544525.0,,,,,,,,left_only,473900000.0
155,BV,2016.0,Rogue One: A Star Wars Story,tt3748528,133,7.8,534623.0,52.0,52.0,"Dec 14, 2016",Rogue One: A Star Wars Story,200000000.0,532177324.0,1056057273.0,both,523879949.0
156,,2002.0,Harry Potter and the Chamber of Secrets,tt0295297,161,7.4,531400.0,52.0,52.0,"Nov 15, 2002",Harry Potter and the Chamber of Secrets,100000000.0,262233381.0,879225135.0,both,616991754.0
157,WB,2017.0,Wonder Woman,tt0451279,141,7.4,531360.0,44.0,44.0,2017-06-02,,150000000.0,412563408.0,821133378.0,left_only,409300000.0
158,,2004.0,Spider-Man 2,tt0316654,127,7.3,529433.0,44.0,44.0,"Jun 30, 2004",Spider-Man 2,200000000.0,373524485.0,794697557.0,both,421173072.0
